customer_id,sku_id,route,time_period,base_demand,promotion_flag,discount_percentage,sentiment_score,review_volume,sustainable_sku_flag,regulation_impact_score,eco_preference_index
CUST1,SKU1,DEL-FRA,2026-01-01,181.4,0,12,-0.016565210133836217,198,0,0.44583275285359114,0.09997491581800289
CUST1,SKU1,DEL-FRA,2026-01-02,186.9,0,12,0.13370861113902183,161,0,0.056411579027100256,0.7219987722668247
CUST1,SKU1,DEL-FRA,2026-01-03,229.3,1,25,-0.19922123415898568,170,0,0.5247564316322378,0.43194501864211576
CUST1,SKU1,DEL-FRA,2026-01-04,197.0,0,14,0.41185289472237946,197,0,0.45606998421703593,0.7851759613930136
CUST1,SKU1,DEL-FRA,2026-01-05,193.4,0,29,0.3142344384136116,140,1,0.6803075385877797,0.450499251969543
CUST1,SKU1,DEL-FRA,2026-01-06,209.0,0,18,0.7422017556848528,18,0,0.230893825622149,0.24102546602601171
CUST1,SKU1,DEL-FRA,2026-01-07,196.9,0,12,0.4099966577826209,184,0,0.3910606075732408,0.18223608778806233
CUST1,SKU1,DEL-FRA,2026-01-08,190.2,0,26,0.2251558744912447,115,0,0.03131329245555858,0.8422847745949985
CUST1,SKU1,DEL-FRA,2026-01-09,189.1,0,8,0.19515023600181441,23,1,0.3265407688058354,0.5704439744053994
CUST1,SKU1,DEL-FRA,2026-01-10,209.7,0,25,0.7611720243493492,91,0,0.5867511656638482,0.965255307264138
CUST1,SKU1,DEL-FRA,2026-01-11,184.8,0,19,0.07599918202254335,54,0,0.9868869366005173,0.7722447692966574
CUST1,SKU1,DEL-FRA,2026-01-12,174.9,0,15,-0.1944778828763976,90,1,0.7901755405312056,0.6059599747810114
CUST1,SKU1,DEL-FRA,2026-01-13,253.0,1,11,0.45107702550194445,81,0,0.09541011649041131,0.37081825219826636
CUST1,SKU1,DEL-FRA,2026-01-14,199.0,0,16,0.46592235661749665,113,0,0.5612434258477011,0.38292687475378984
CUST1,SKU1,DEL-FRA,2026-01-15,260.2,1,9,0.6489138242660839,151,0,0.5227328293819941,0.42754101835854963
CUST1,SKU1,DEL-FRA,2026-01-16,178.6,0,11,-0.09210857300669556,61,0,0.6955160864261275,0.1393314544058757
CUST1,SKU1,DEL-FRA,2026-01-17,194.4,0,8,0.3398410913016731,22,0,0.289751452913768,0.16122128725400442
CUST1,SKU1,DEL-FRA,2026-01-18,258.7,1,29,0.608120379564417,143,0,0.2184404372168336,0.4165099478703662
CUST1,SKU1,DEL-FRA,2026-01-19,241.1,1,27,0.12434502100527395,101,0,0.906828441545754,0.2721322493846353
CUST1,SKU1,DEL-FRA,2026-01-20,174.7,0,17,-0.1994796230046842,12,0,0.5107473025775657,0.417411003148779
CUST1,SKU1,DEL-FRA,2026-01-21,179.1,0,16,-0.08013463266631721,161,1,0.32320293202075523,0.5187906217433661
CUST1,SKU1,DEL-FRA,2026-01-22,188.0,0,21,0.16362960237929397,195,1,0.25178229582536416,0.49724850589238545
CUST1,SKU1,DEL-FRA,2026-01-23,185.1,0,21,0.0848404943774676,196,0,0.5026790232288615,0.05147875124998935
CUST1,SKU1,DEL-FRA,2026-01-24,207.8,0,23,0.7082658859666537,135,0,0.489452760277563,0.9856504541106007
CUST1,SKU1,DEL-FRA,2026-01-25,199.2,0,15,0.47213554740587854,193,0,0.7282163486118596,0.3677831327192532
CUST1,SKU1,DEL-FRA,2026-01-26,197.8,0,15,0.4335297107608947,153,1,0.32078006497173583,0.18651851039985423
CUST1,SKU1,DEL-FRA,2026-01-27,196.2,0,8,0.3908929431882418,156,1,0.8095010461397154,0.3486659872917294
CUST1,SKU1,DEL-FRA,2026-01-28,209.0,0,12,0.740523264489604,137,0,0.837710105907328,0.6756901170392807
CUST1,SKU1,DEL-FRA,2026-01-29,182.3,0,14,0.00907162073771367,108,0,0.17495492709593619,0.9821683433294356
CUST1,SKU1,DEL-FRA,2026-01-30,184.2,0,5,0.060829174830409005,57,1,0.5582934536070976,0.8826363431893397
CUST1,SKU1,DEL-FRA,2026-01-31,184.9,0,23,0.07887135259218186,57,1,0.8563242918780924,0.4045081271221901
CUST1,SKU1,DEL-FRA,2026-02-01,260.3,1,21,0.6509284487675127,173,1,0.6064290596595899,0.009197051616629648
CUST1,SKU1,DEL-FRA,2026-02-02,198.9,0,22,0.4635017691080558,137,0,0.4856137535862266,0.44842414298624733
CUST1,SKU1,DEL-FRA,2026-02-03,235.7,1,8,-0.024074747322654633,42,0,0.1788227092213288,0.3664687845828599
CUST1,SKU1,DEL-FRA,2026-02-04,201.0,0,5,0.5209399242521293,185,0,0.3677158030594335,0.26520236768172545
CUST1,SKU1,DEL-FRA,2026-02-05,210.1,0,17,0.7730105547524455,60,1,0.6311386259972629,0.7948113035416484
CUST1,SKU1,DEL-FRA,2026-02-06,195.7,0,5,0.3769038846263591,70,0,0.5720041992091831,0.768554014306309
CUST1,SKU1,DEL-FRA,2026-02-07,210.9,0,18,0.794550510797341,126,1,0.7477187738974139,0.9530718470239532
CUST1,SKU1,DEL-FRA,2026-02-08,194.8,0,7,0.3527649668354899,197,1,0.2944488920695857,0.38509772860192526
CUST1,SKU1,DEL-FRA,2026-02-09,240.9,1,22,0.11692200515627765,34,0,0.8442131407263114,0.9300168348108319
CUST1,SKU1,DEL-FRA,2026-02-10,182.3,0,19,0.008918717615360172,95,0,0.25416364906973876,0.29529058841893874
CUST1,SKU1,DEL-FRA,2026-02-11,205.6,0,13,0.6486697949246745,52,1,0.5528199769079077,0.2965101436477985
CUST1,SKU1,DEL-FRA,2026-02-12,184.0,0,28,0.05620694359445805,22,0,0.005184862773986776,0.6278944149486361
CUST1,SKU1,DEL-FRA,2026-02-13,177.3,0,18,-0.12905908300007235,153,0,0.8866171489506599,0.027616771873704704
CUST1,SKU1,DEL-FRA,2026-02-14,190.7,0,26,0.23847412301808696,60,0,0.5426446347075766,0.2865412521282844
CUST1,SKU1,DEL-FRA,2026-02-15,175.8,0,24,-0.16949975006095058,179,1,0.3601906414112629,0.12706051265188478
CUST1,SKU1,DEL-FRA,2026-02-16,202.7,0,16,0.5699935530986109,117,0,0.085347464993768,0.0516817211686077
CUST1,SKU1,DEL-FRA,2026-02-17,194.4,0,27,0.3406351216101065,177,1,0.9758520794625346,0.5163003483011953
CUST1,SKU1,DEL-FRA,2026-02-18,203.7,0,23,0.5951861947687036,101,1,0.2508605273466612,0.18433367433137005
CUST1,SKU1,DEL-FRA,2026-02-19,190.3,0,16,0.22831447494010776,138,0,0.15643704267108605,0.25024289816459533
CUST1,SKU1,DEL-FRA,2026-02-20,200.7,0,12,0.5145959227000623,126,0,0.5166962574265667,0.6571113285001668
CUST1,SKU1,DEL-FRA,2026-02-21,201.3,0,7,0.5300393165618185,85,0,0.15864644764249103,0.12016464780564218
CUST1,SKU1,DEL-FRA,2026-02-22,178.1,0,19,-0.10820093418655813,103,1,0.7036578593800237,0.4741738290873252
CUST1,SKU1,DEL-FRA,2026-02-23,192.6,0,11,0.29161587511683235,109,0,0.43385164923797304,0.39850473439737344
CUST1,SKU1,DEL-FRA,2026-02-24,197.8,0,6,0.4350936508676438,189,0,0.6258599157142364,0.5031362585800877
CUST1,SKU1,DEL-FRA,2026-02-25,253.3,1,8,0.458693631618945,25,0,0.6424192782063156,0.026511310541621813
